C,C,W,W,W,D,D,G,UTIL
Sean Couturier,Derek Stepan,Claude Giroux,Clayton Keller,Richard Panik,Keith Yandle,Oliver Ekman-Larsson,Braden Holtby,Jake Gardiner
Nathan MacKinnon,Carl Soderberg,Claude Giroux,Mikko Rantanen,Gabriel Landeskog,Oliver Ekman-Larsson,Jake Gardiner,Braden Holtby,Matt Nieto
Sean Couturier,Nicklas Backstrom,Claude Giroux,T.J. Oshie,Andre Burakovsky,Tyson Barrie,Oliver Ekman-Larsson,Braden Holtby,Dmitry Orlov
Sean Couturier,Carl Soderberg,Alex Ovechkin,Claude Giroux,Blake Comeau,Keith Yandle,Tyson Barrie,Braden Holtby,Matt Nieto
Sean Couturier,Nazem Kadri,Claude Giroux,Mitchell Marner,Patrick Marleau,Oliver Ekman-Larsson,Erik Johnson,Braden Holtby,Alex Goligoski
Sean Couturier,Mika Zibanejad,Claude Giroux,Chris Kreider,Jesper Fast,Tyson Barrie,Oliver Ekman-Larsson,Roberto Luongo,Erik Johnson
Auston Matthews,Sean Couturier,Claude Giroux,William Nylander,Zach Hyman,Morgan Rielly,Oliver Ekman-Larsson,Braden Holtby,Samuel Girard
Nathan MacKinnon,Sean Couturier,Mikko Rantanen,Gabriel Landeskog,Blake Comeau,Tyson Barrie,Dmitry Orlov,Marc-Andre Fleury,Matt Nieto
Nathan MacKinnon,Mika Zibanejad,Mikko Rantanen,Gabriel Landeskog,Chris Kreider,Oliver Ekman-Larsson,Alex Goligoski,Roberto Luongo,Brady Skjei
Sean Couturier,J.T. Compher,Claude Giroux,Travis Konecny,Tyson Jost,John Carlson,Shayne Gostisbehere,Braden Holtby,Oliver Ekman-Larsson
Nathan MacKinnon,Sean Couturier,Claude Giroux,Gabriel Landeskog,Travis Konecny,Dmitry Orlov,Alex Goligoski,Braden Holtby,Samuel Girard
Sean Couturier,Mika Zibanejad,Claude Giroux,Chris Kreider,Travis Konecny,Keith Yandle,Dmitry Orlov,Marc-Andre Fleury,Brady Skjei
Nathan MacKinnon,J.T. Compher,Mikko Rantanen,Gabriel Landeskog,Tyson Jost,Shayne Gostisbehere,Erik Johnson,Braden Holtby,Dmitry Orlov
Nathan MacKinnon,Sean Couturier,Claude Giroux,Travis Konecny,Blake Comeau,Erik Johnson,Jake Gardiner,Marc-Andre Fleury,Carl Soderberg
Vincent Trocheck,Sean Couturier,Claude Giroux,Jonathan Huberdeau,Blake Comeau,Oliver Ekman-Larsson,Aaron Ekblad,Braden Holtby,Denis Malgin
Sean Couturier,Nolan Patrick,Claude Giroux,Jakub Voracek,Oskar Lindblom,Shayne Gostisbehere,Tyson Barrie,Braden Holtby,Jake Gardiner
Aleksander Barkov,Sean Couturier,Claude Giroux,Tyson Jost,Alexander Kerfoot,Keith Yandle,Tyson Barrie,Marc-Andre Fleury,J.T. Compher
Nathan MacKinnon,Nolan Patrick,Mikko Rantanen,Jakub Voracek,Oskar Lindblom,Keith Yandle,Oliver Ekman-Larsson,Braden Holtby,Dmitry Orlov
Nathan MacKinnon,Sean Couturier,Claude Giroux,Mikko Rantanen,Travis Konecny,Oliver Ekman-Larsson,Brady Skjei,Henrik Lundqvist,Jimmy Vesey
Nathan MacKinnon,Derek Stepan,Gabriel Landeskog,Clayton Keller,Richard Panik,Tyson Barrie,Oliver Ekman-Larsson,Roberto Luongo,Dmitry Orlov
Nathan MacKinnon,Auston Matthews,Mikko Rantanen,Gabriel Landeskog,Zach Hyman,Jake Gardiner,Brady Skjei,Marc-Andre Fleury,Samuel Girard
Nathan MacKinnon,Nazem Kadri,Mikko Rantanen,Gabriel Landeskog,Patrick Marleau,Tyson Barrie,Oliver Ekman-Larsson,Henrik Lundqvist,Samuel Girard
Auston Matthews,Mika Zibanejad,William Nylander,Chris Kreider,Zach Hyman,Tyson Barrie,Erik Johnson,Marc-Andre Fleury,Dmitry Orlov
Nathan MacKinnon,Christian Dvorak,Mikko Rantanen,Gabriel Landeskog,Max Domi,Keith Yandle,Morgan Rielly,Braden Holtby,Alex Goligoski
Nicklas Backstrom,Nazem Kadri,Mitchell Marner,T.J. Oshie,Patrick Marleau,Keith Yandle,Jake Gardiner,Braden Holtby,Dmitry Orlov
Sean Couturier,Christian Dvorak,Claude Giroux,Mikko Rantanen,Travis Konecny,Tyson Barrie,Erik Johnson,Braden Holtby,Max Domi
Nathan MacKinnon,Nicklas Backstrom,Gabriel Landeskog,T.J. Oshie,Andre Burakovsky,Erik Johnson,Jake Gardiner,Braden Holtby,Alex Goligoski
Sean Couturier,Derek Stepan,Claude Giroux,Clayton Keller,Travis Konecny,Erik Johnson,Aaron Ekblad,Roberto Luongo,Dmitry Orlov
Sean Couturier,Nazem Kadri,Claude Giroux,Mitchell Marner,Travis Konecny,Tyson Barrie,Neal Pionk,Marc-Andre Fleury,Samuel Girard
Aleksander Barkov,Evgeny Kuznetsov,Alex Ovechkin,Blake Comeau,Matt Nieto,Morgan Rielly,Jake Gardiner,Marc-Andre Fleury,Carl Soderberg
Aleksander Barkov,Evgeny Kuznetsov,Alex Ovechkin,Tyson Jost,Alexander Kerfoot,Oliver Ekman-Larsson,Jake Gardiner,Braden Holtby,J.T. Compher
Nathan MacKinnon,Carl Soderberg,Mikko Rantanen,Blake Comeau,Matt Nieto,John Carlson,Shayne Gostisbehere,Roberto Luongo,Keith Yandle
Nathan MacKinnon,Mika Zibanejad,Gabriel Landeskog,Chris Kreider,Jesper Fast,Erik Johnson,Jake Gardiner,Marc-Andre Fleury,Neal Pionk
Auston Matthews,Derek Stepan,Clayton Keller,William Nylander,Zach Hyman,Tyson Barrie,Jake Gardiner,Braden Holtby,Mike Matheson
Nathan MacKinnon,Nazem Kadri,Gabriel Landeskog,Mitchell Marner,Patrick Marleau,Erik Johnson,Dmitry Orlov,Marc-Andre Fleury,Brady Skjei
Nathan MacKinnon,Derek Stepan,Mikko Rantanen,Gabriel Landeskog,Clayton Keller,Ivan Provorov,Samuel Girard,Braden Holtby,Blake Comeau
Evgeny Kuznetsov,Carl Soderberg,Alex Ovechkin,Tom Wilson,Matt Nieto,John Carlson,Oliver Ekman-Larsson,Braden Holtby,Erik Johnson
Nathan MacKinnon,Auston Matthews,Gabriel Landeskog,William Nylander,Zach Hyman,Oliver Ekman-Larsson,Erik Johnson,Henrik Lundqvist,Alex Goligoski
Sean Couturier,Nolan Patrick,Claude Giroux,Jakub Voracek,Travis Konecny,Keith Yandle,Oliver Ekman-Larsson,Roberto Luongo,Neal Pionk
Nicklas Backstrom,Derek Stepan,Clayton Keller,T.J. Oshie,Richard Panik,Shayne Gostisbehere,Tyson Barrie,Braden Holtby,Alex Goligoski
Nicklas Backstrom,Mika Zibanejad,T.J. Oshie,Chris Kreider,Andre Burakovsky,Keith Yandle,Morgan Rielly,Marc-Andre Fleury,Jake Gardiner
Vincent Trocheck,Denis Malgin,Mikko Rantanen,Gabriel Landeskog,Jonathan Huberdeau,Keith Yandle,Jake Gardiner,Braden Holtby,Samuel Girard
Nathan MacKinnon,Nazem Kadri,Mitchell Marner,Patrick Marleau,Blake Comeau,John Carlson,Tyson Barrie,Braden Holtby,Matt Nieto
Sean Couturier,Mika Zibanejad,Claude Giroux,William Nylander,Travis Konecny,Tyson Barrie,Jake Gardiner,Henrik Lundqvist,Zach Hyman
Evgeny Kuznetsov,Sean Couturier,Alex Ovechkin,Claude Giroux,Tom Wilson,Oliver Ekman-Larsson,Dmitry Orlov,Antti Raanta,Samuel Girard
Nathan MacKinnon,Derek Stepan,Mikko Rantanen,Gabriel Landeskog,Richard Panik,Keith Yandle,Erik Johnson,Henrik Lundqvist,Brady Skjei
Evgeny Kuznetsov,Derek Stepan,Alex Ovechkin,Clayton Keller,Richard Panik,Morgan Rielly,Dmitry Orlov,Braden Holtby,Samuel Girard
Auston Matthews,Carl Soderberg,Claude Giroux,William Nylander,Zach Hyman,John Carlson,Keith Yandle,Marc-Andre Fleury,Matt Nieto
Evgeny Kuznetsov,Mika Zibanejad,Alex Ovechkin,Chris Kreider,Jesper Fast,Tyson Barrie,Brady Skjei,Marc-Andre Fleury,Samuel Girard
Mika Zibanejad,Nazem Kadri,Mitchell Marner,Chris Kreider,Patrick Marleau,Keith Yandle,Tyson Barrie,Marc-Andre Fleury,Tyson Jost
Nathan MacKinnon,Vincent Trocheck,Mikko Rantanen,Jonathan Huberdeau,Jimmy Vesey,Oliver Ekman-Larsson,Dmitry Orlov,Roberto Luongo,Denis Malgin
Vincent Trocheck,Sean Couturier,Claude Giroux,Wayne Simmonds,Travis Konecny,Jake Gardiner,Mike Matheson,Braden Holtby,Jordan Weal
Nathan MacKinnon,Nicklas Backstrom,Mikko Rantanen,T.J. Oshie,Jimmy Vesey,Tyson Barrie,Brady Skjei,Marc-Andre Fleury,Andre Burakovsky
Aleksander Barkov,Carl Soderberg,Evgenii Dadonov,Nick Bjugstad,Blake Comeau,Tyson Barrie,Oliver Ekman-Larsson,Braden Holtby,Erik Johnson
Nathan MacKinnon,Sean Couturier,Mikko Rantanen,Gabriel Landeskog,Tyson Jost,Morgan Rielly,Oliver Ekman-Larsson,Antti Raanta,Alexander Kerfoot
Nathan MacKinnon,Sean Couturier,Mikko Rantanen,Gabriel Landeskog,Ryan Spooner,Erik Johnson,Neal Pionk,Roberto Luongo,Jimmy Vesey
Mika Zibanejad,Derek Stepan,Clayton Keller,Chris Kreider,Richard Panik,Shayne Gostisbehere,Keith Yandle,Roberto Luongo,Erik Johnson
Auston Matthews,Nicklas Backstrom,Jakub Voracek,T.J. Oshie,William Nylander,Dmitry Orlov,Alex Goligoski,Braden Holtby,Zach Hyman
Sean Couturier,Nicklas Backstrom,Claude Giroux,T.J. Oshie,Travis Konecny,Shayne Gostisbehere,Alex Goligoski,Roberto Luongo,Blake Comeau
Nathan MacKinnon,Mika Zibanejad,Mikko Rantanen,Tyson Jost,Alexander Kerfoot,John Carlson,Jake Gardiner,Marc-Andre Fleury,J.T. Compher
Nazem Kadri,Derek Stepan,Mitchell Marner,Clayton Keller,Patrick Marleau,Shayne Gostisbehere,Keith Yandle,Henrik Lundqvist,Oliver Ekman-Larsson
Vincent Trocheck,Derek Stepan,Jakub Voracek,Jonathan Huberdeau,Clayton Keller,Erik Johnson,Dmitry Orlov,Braden Holtby,Denis Malgin
Vincent Trocheck,Denis Malgin,Claude Giroux,Jonathan Huberdeau,Travis Konecny,Morgan Rielly,Jake Gardiner,Marc-Andre Fleury,Dmitry Orlov
Auston Matthews,Nazem Kadri,Mitchell Marner,William Nylander,Zach Hyman,Keith Yandle,Erik Johnson,Braden Holtby,Blake Comeau
Auston Matthews,Sean Couturier,Claude Giroux,Travis Konecny,Zach Hyman,Ivan Provorov,Mike Matheson,Marc-Andre Fleury,Jimmy Vesey
Aleksander Barkov,Nicklas Backstrom,T.J. Oshie,Blake Comeau,Andre Burakovsky,John Carlson,Keith Yandle,Braden Holtby,Carl Soderberg
Nicklas Backstrom,Derek Stepan,Jakub Voracek,Clayton Keller,T.J. Oshie,Keith Yandle,Oliver Ekman-Larsson,Roberto Luongo,Andre Burakovsky
Vincent Trocheck,Mika Zibanejad,Gabriel Landeskog,Jonathan Huberdeau,Chris Kreider,Tyson Barrie,Oliver Ekman-Larsson,Henrik Lundqvist,Denis Malgin
Nathan MacKinnon,Aleksander Barkov,Mikko Rantanen,Gabriel Landeskog,Blake Comeau,Aaron Ekblad,Alex Goligoski,Henrik Lundqvist,Carl Soderberg
Nathan MacKinnon,Carl Soderberg,Mikko Rantanen,Gabriel Landeskog,Wayne Simmonds,Keith Yandle,Neal Pionk,Marc-Andre Fleury,Jordan Weal
Nathan MacKinnon,Nicklas Backstrom,Mikko Rantanen,Gabriel Landeskog,T.J. Oshie,Dmitry Orlov,Jakob Chychrun,Roberto Luongo,Samuel Girard
Evgeny Kuznetsov,Nicklas Backstrom,Alex Ovechkin,T.J. Oshie,Andre Burakovsky,Oliver Ekman-Larsson,Jake Gardiner,Antti Raanta,Neal Pionk
Auston Matthews,Nazem Kadri,Mitchell Marner,Patrick Marleau,Zach Hyman,Shayne Gostisbehere,Jake Gardiner,Marc-Andre Fleury,Neal Pionk
Evgeny Kuznetsov,Nolan Patrick,Alex Ovechkin,Jakub Voracek,Oskar Lindblom,Keith Yandle,Jake Gardiner,Marc-Andre Fleury,Brady Skjei
Auston Matthews,Evgeny Kuznetsov,Alex Ovechkin,Zach Hyman,Tom Wilson,Jake Gardiner,Dmitry Orlov,Braden Holtby,Blake Comeau
Auston Matthews,Nicklas Backstrom,Claude Giroux,T.J. Oshie,Zach Hyman,Erik Johnson,Neal Pionk,Marc-Andre Fleury,Andre Burakovsky
Mika Zibanejad,Nolan Patrick,Claude Giroux,Jakub Voracek,Chris Kreider,John Carlson,Erik Johnson,Marc-Andre Fleury,Oskar Lindblom
Evgeny Kuznetsov,Sean Couturier,Claude Giroux,Travis Konecny,Matt Nieto,John Carlson,Mike Matheson,Roberto Luongo,Carl Soderberg
Nathan MacKinnon,Mika Zibanejad,Clayton Keller,Chris Kreider,Jesper Fast,Oliver Ekman-Larsson,Aaron Ekblad,Henrik Lundqvist,Derek Stepan
Aleksander Barkov,Sean Couturier,Claude Giroux,Travis Konecny,Nick Cousins,Keith Yandle,Aaron Ekblad,Braden Holtby,Christian Fischer
Vincent Trocheck,Nicklas Backstrom,Jonathan Huberdeau,T.J. Oshie,Blake Comeau,Tyson Barrie,Erik Johnson,Marc-Andre Fleury,Denis Malgin
Aleksander Barkov,Mika Zibanejad,Chris Kreider,Jesper Fast,Blake Comeau,John Carlson,Shayne Gostisbehere,Marc-Andre Fleury,Carl Soderberg
Vincent Trocheck,Sean Couturier,Claude Giroux,Jonathan Huberdeau,Travis Konecny,Ivan Provorov,Brady Skjei,Roberto Luongo,Samuel Girard
Nathan MacKinnon,Dylan Strome,Mikko Rantanen,Jakub Voracek,Gabriel Landeskog,Tyson Barrie,Mike Matheson,Braden Holtby,Nick Cousins
Aleksander Barkov,Sean Couturier,Claude Giroux,Travis Konecny,Patrick Marleau,Jake Gardiner,Brady Skjei,Antti Raanta,Nazem Kadri
Nathan MacKinnon,Vincent Trocheck,Jonathan Huberdeau,Blake Comeau,Matt Nieto,Morgan Rielly,Erik Johnson,Braden Holtby,Carl Soderberg
Nathan MacKinnon,Mika Zibanejad,Mikko Rantanen,Gabriel Landeskog,Jesper Fast,Keith Yandle,Dmitry Orlov,Antti Raanta,Jimmy Vesey
Nathan MacKinnon,Mika Zibanejad,Mikko Rantanen,Jakub Voracek,Gabriel Landeskog,Jake Gardiner,Jakob Chychrun,Henrik Lundqvist,Oskar Lindblom
Sean Couturier,Derek Stepan,Claude Giroux,Travis Konecny,Richard Panik,Tyson Barrie,Morgan Rielly,Antti Raanta,Ivan Provorov
Nathan MacKinnon,Derek Stepan,Clayton Keller,Wayne Simmonds,Richard Panik,John Carlson,Erik Johnson,Braden Holtby,Jordan Weal
Aleksander Barkov,Auston Matthews,Clayton Keller,Zach Hyman,Richard Panik,Morgan Rielly,Oliver Ekman-Larsson,Henrik Lundqvist,Derek Stepan
Vincent Trocheck,Denis Malgin,Jonathan Huberdeau,William Nylander,Zach Hyman,John Carlson,Tyson Barrie,Braden Holtby,Alex Goligoski
Evgeny Kuznetsov,J.T. Compher,Alex Ovechkin,Jakub Voracek,Tyson Jost,Tyson Barrie,Dmitry Orlov,Marc-Andre Fleury,Tom Wilson
Evgeny Kuznetsov,Christian Dvorak,Alex Ovechkin,Tom Wilson,Max Domi,Keith Yandle,Tyson Barrie,Roberto Luongo,Oliver Ekman-Larsson
Auston Matthews,Mika Zibanejad,Alex Ovechkin,Chris Kreider,Zach Hyman,Oliver Ekman-Larsson,Jake Gardiner,Antti Raanta,Jesper Fast
Mika Zibanejad,Nazem Kadri,Claude Giroux,Mitchell Marner,Chris Kreider,Shayne Gostisbehere,Jake Gardiner,Henrik Lundqvist,Jesper Fast
Vincent Trocheck,J.T. Compher,Jakub Voracek,Jonathan Huberdeau,Tyson Jost,John Carlson,Keith Yandle,Braden Holtby,Alexander Kerfoot
Evgeny Kuznetsov,Nazem Kadri,Alex Ovechkin,Patrick Marleau,Tom Wilson,Tyson Barrie,Alex Goligoski,Braden Holtby,Samuel Girard
Auston Matthews,J.T. Compher,Mikko Rantanen,William Nylander,Zach Hyman,John Carlson,Aaron Ekblad,Braden Holtby,Tyson Jost
Auston Matthews,Sean Couturier,Jakub Voracek,William Nylander,Zach Hyman,Aaron Ekblad,Jake Gardiner,Marc-Andre Fleury,Oskar Lindblom
Nathan MacKinnon,Nazem Kadri,Mikko Rantanen,Gabriel Landeskog,Mitchell Marner,Jake Gardiner,Neal Pionk,Antti Raanta,Blake Comeau
Nathan MacKinnon,Derek Stepan,Mikko Rantanen,Jakub Voracek,Clayton Keller,Jake Gardiner,Alex Goligoski,Antti Raanta,Richard Panik
Nathan MacKinnon,Nolan Patrick,Jakub Voracek,Gabriel Landeskog,Zach Hyman,Tyson Barrie,Morgan Rielly,Marc-Andre Fleury,Oskar Lindblom
Nazem Kadri,Carl Soderberg,Mikko Rantanen,Gabriel Landeskog,Mitchell Marner,Ivan Provorov,Mike Matheson,Braden Holtby,Patrick Marleau
Aleksander Barkov,Sean Couturier,Claude Giroux,Jakub Voracek,Travis Konecny,Erik Johnson,Alex Goligoski,Henrik Lundqvist,Oskar Lindblom
Sean Couturier,Carl Soderberg,Claude Giroux,Mikko Rantanen,Gabriel Landeskog,Aaron Ekblad,Neal Pionk,Antti Raanta,Travis Konecny
Nazem Kadri,Derek Stepan,Jakub Voracek,Mitchell Marner,Clayton Keller,Aaron Ekblad,Mike Matheson,Braden Holtby,Richard Panik
Aleksander Barkov,Nazem Kadri,Mitchell Marner,Patrick Marleau,Tyson Jost,Shayne Gostisbehere,Aaron Ekblad,Braden Holtby,J.T. Compher
Vincent Trocheck,Nazem Kadri,Jonathan Huberdeau,Mitchell Marner,Patrick Marleau,Morgan Rielly,Oliver Ekman-Larsson,Antti Raanta,Dmitry Orlov
Nicklas Backstrom,Mika Zibanejad,Alex Ovechkin,T.J. Oshie,Chris Kreider,Dmitry Orlov,Alex Goligoski,Roberto Luongo,Jesper Fast
Auston Matthews,Nolan Patrick,Jakub Voracek,William Nylander,Zach Hyman,John Carlson,Tyson Barrie,Antti Raanta,Oliver Ekman-Larsson
Nathan MacKinnon,Evgeny Kuznetsov,Alex Ovechkin,Nick Cousins,Christian Fischer,Shayne Gostisbehere,Oliver Ekman-Larsson,Braden Holtby,Dylan Strome
Sean Couturier,Nicklas Backstrom,Claude Giroux,Travis Konecny,Andre Burakovsky,Keith Yandle,Erik Johnson,Antti Raanta,Mike Matheson
Nathan MacKinnon,Lars Eller,Mikko Rantanen,Gabriel Landeskog,Devante Smith-Pelly,Morgan Rielly,Erik Johnson,Marc-Andre Fleury,Mike Matheson
Vincent Trocheck,Sean Couturier,Claude Giroux,Travis Konecny,Matt Nieto,Shayne Gostisbehere,Keith Yandle,Henrik Lundqvist,Denis Malgin
Evgeny Kuznetsov,Mika Zibanejad,Alex Ovechkin,Ryan Spooner,Tom Wilson,Erik Johnson,Jake Gardiner,Marc-Andre Fleury,Jimmy Vesey
Vincent Trocheck,Mika Zibanejad,Jonathan Huberdeau,Chris Kreider,Jesper Fast,Ivan Provorov,Mike Matheson,Marc-Andre Fleury,Dmitry Orlov
Sean Couturier,Tyler Bozak,Claude Giroux,James van Riemsdyk,Connor Brown,Keith Yandle,Morgan Rielly,Braden Holtby,Dmitry Orlov
Auston Matthews,Evgeny Kuznetsov,Alex Ovechkin,William Nylander,Zach Hyman,Neal Pionk,Samuel Girard,Marc-Andre Fleury,Jimmy Vesey
Aleksander Barkov,Sean Couturier,Claude Giroux,Travis Konecny,Ryan Spooner,Tyson Barrie,Colin Miller,Roberto Luongo,Jimmy Vesey
Vincent Trocheck,Nazem Kadri,Jakub Voracek,Jonathan Huberdeau,Patrick Marleau,Keith Yandle,Brady Skjei,Marc-Andre Fleury,Denis Malgin
Vincent Trocheck,Derek Stepan,Jonathan Huberdeau,Clayton Keller,Richard Panik,Tyson Barrie,Aaron Ekblad,Henrik Lundqvist,Jake Gardiner
Nathan MacKinnon,J.T. Compher,Alex Ovechkin,Gabriel Landeskog,Tyson Jost,Tyson Barrie,Mike Matheson,Roberto Luongo,Alexander Kerfoot
Nicklas Backstrom,J.T. Compher,Alex Ovechkin,T.J. Oshie,Tyson Jost,Shayne Gostisbehere,Morgan Rielly,Marc-Andre Fleury,Alexander Kerfoot
Nathan MacKinnon,Auston Matthews,Mikko Rantanen,William Nylander,Zach Hyman,Morgan Rielly,Dmitry Orlov,Antti Raanta,Matt Nieto
Evgeny Kuznetsov,Sean Couturier,Claude Giroux,Travis Konecny,Tom Wilson,Morgan Rielly,Colin Miller,Braden Holtby,Blake Comeau
Sean Couturier,Mika Zibanejad,Claude Giroux,Jakub Voracek,Travis Konecny,John Carlson,Samuel Girard,Antti Raanta,Jesper Fast
Nicklas Backstrom,Nolan Patrick,Jakub Voracek,T.J. Oshie,Andre Burakovsky,Shayne Gostisbehere,Morgan Rielly,Braden Holtby,Ivan Provorov
Vincent Trocheck,Auston Matthews,Jonathan Huberdeau,William Nylander,Zach Hyman,Morgan Rielly,Brady Skjei,Marc-Andre Fleury,Blake Comeau
Vincent Trocheck,Denis Malgin,Claude Giroux,Jonathan Huberdeau,Wayne Simmonds,Keith Yandle,Tyson Barrie,Roberto Luongo,Jordan Weal
Aleksander Barkov,Mika Zibanejad,Evgenii Dadonov,Chris Kreider,Nick Bjugstad,Oliver Ekman-Larsson,Jake Gardiner,Henrik Lundqvist,Brady Skjei
Nathan MacKinnon,Nolan Patrick,Mikko Rantanen,Jakub Voracek,Gabriel Landeskog,Erik Johnson,Aaron Ekblad,Antti Raanta,Samuel Girard
Sean Couturier,Lars Eller,Claude Giroux,Jakub Voracek,Travis Konecny,Shayne Gostisbehere,Aaron Ekblad,Marc-Andre Fleury,Devante Smith-Pelly
Aleksander Barkov,Sean Couturier,Claude Giroux,Evgenii Dadonov,Nick Bjugstad,Brady Skjei,Samuel Girard,Marc-Andre Fleury,Matt Nieto
Sean Couturier,Erik Haula,Claude Giroux,James Neal,Travis Konecny,Oliver Ekman-Larsson,Jake Gardiner,Frederik Andersen,Dmitry Orlov
Aleksander Barkov,Auston Matthews,William Nylander,Blake Comeau,Matt Nieto,Shayne Gostisbehere,Aaron Ekblad,Braden Holtby,Carl Soderberg
Sean Couturier,Nicklas Backstrom,Jakub Voracek,T.J. Oshie,Andre Burakovsky,John Carlson,Mike Matheson,Marc-Andre Fleury,Oskar Lindblom
Nathan MacKinnon,Vincent Trocheck,Mikko Rantanen,Gabriel Landeskog,Matt Nieto,John Carlson,Brady Skjei,Antti Raanta,Denis Malgin
Vincent Trocheck,Nicklas Backstrom,Jonathan Huberdeau,T.J. Oshie,Andre Burakovsky,Aaron Ekblad,Samuel Girard,Braden Holtby,Derek Stepan
Vincent Trocheck,Evgeny Kuznetsov,Alex Ovechkin,Jonathan Huberdeau,Tyson Jost,Oliver Ekman-Larsson,Alex Goligoski,Antti Raanta,Denis Malgin
Aleksander Barkov,Auston Matthews,William Nylander,Patrick Marleau,Zach Hyman,Tyson Barrie,Brady Skjei,Henrik Lundqvist,Nazem Kadri
Vincent Trocheck,Carl Soderberg,Alex Ovechkin,Jonathan Huberdeau,Matt Nieto,John Carlson,Neal Pionk,Marc-Andre Fleury,Denis Malgin
Nathan MacKinnon,Tyler Bozak,Mikko Rantanen,James van Riemsdyk,Connor Brown,Oliver Ekman-Larsson,Erik Johnson,Braden Holtby,Alex Goligoski
William Karlsson,Carl Soderberg,Jonathan Marchessault,Alex Tuch,Blake Comeau,Shayne Gostisbehere,Keith Yandle,Braden Holtby,Oliver Ekman-Larsson
Evgeny Kuznetsov,Derek Stepan,Alex Ovechkin,Clayton Keller,Tom Wilson,Erik Johnson,Neal Pionk,Roberto Luongo,Brady Skjei
Nazem Kadri,Nolan Patrick,Claude Giroux,Jakub Voracek,Mitchell Marner,Tyson Barrie,Aaron Ekblad,Henrik Lundqvist,Patrick Marleau
Evgeny Kuznetsov,Nazem Kadri,Alex Ovechkin,Mitchell Marner,Patrick Marleau,Oliver Ekman-Larsson,Brady Skjei,Frederik Andersen,Jimmy Vesey
Nathan MacKinnon,Mika Zibanejad,Jakub Voracek,Chris Kreider,Jesper Fast,Keith Yandle,Mike Matheson,Roberto Luongo,Oskar Lindblom
Sean Couturier,Nazem Kadri,Mitchell Marner,T.J. Oshie,Patrick Marleau,Morgan Rielly,Ivan Provorov,Marc-Andre Fleury,Andre Burakovsky
Sean Couturier,William Karlsson,Claude Giroux,Jonathan Marchessault,Alex Tuch,Oliver Ekman-Larsson,Dmitry Orlov,Roberto Luongo,Matt Nieto
